day,month,year
1,Ocak,2018
23,Nisan,2018
1,Mayıs,2018
19,Mayıs,2018
14,Haziran,2018
15,Haziran,2018
16,Haziran,2018
17,Haziran,2018
20,Ağustos,2018
21,Ağustos,2018
22,Ağustos,2018
23,Ağustos,2018
24,Ağustos,2018
30,Ağustos,2018
28,Ekim,2018
29,Ekim,2018
31,Aralık,2018
1,Ocak,2019
23,Nisan,2019
1,Mayıs,2019
19,Mayıs,2019
3,Haziran,2019
4,Haziran,2019
5,Haziran,2019
6,Haziran,2019
10,Ağustos,2019
11,Ağustos,2019
12,Ağustos,2019
13,Ağustos,2019
14,Ağustos,2019
30,Ağustos,2019
28,Ekim,2019
29,Ekim,2019
31,Aralık,2019
1,Ocak,2020
23,Nisan,2020
1,Mayıs,2020
19,Mayıs,2020
23,Mayıs,2020
24,Mayıs,2020
25,Mayıs,2020
26,Mayıs,2020
30,Temmuz,2020
31,Temmuz,2020
1,Ağustos,2020
2,Ağustos,2020
3,Ağustos,2020
30,Ağustos,2020
28,Ekim,2020
29,Ekim,2020
31,Aralık,2020
1,Ocak,2021
23,Nisan,2021
1,Mayıs,2021
12,Mayıs,2021
13,Mayıs,2021
14,Mayıs,2021
15,Mayıs,2021
19,Mayıs,2021
19,Temmuz,2021
20,Temmuz,2021
21,Temmuz,2021
22,Temmuz,2021
23,Temmuz,2021
30,Ağustos,2021
28,Ekim,2021
29,Ekim,2021
31,Aralık,2021
1,Ocak,2022
23,Nisan,2022
1,Mayıs,2022
1,Mayıs,2022
2,Mayıs,2022
3,Mayıs,2022
4,Mayıs,2022
19,Mayıs,2022
8,Temmuz,2022
9,Temmuz,2022
10,Temmuz,2022
11,Temmuz,2022
12,Temmuz,2022
15,Temmuz,2022
30,Ağustos,2022
28,Ekim,2022
29,Ekim,2022
31,Aralık,2022
